adversarial_samples,original_samples,annotator1_stance,annotator1_confidence,annotator2_stance,annotator2_confidence,annotator3_stance,annotator3_confidence,agreed_labels
"crоɑtіа . international tourism is a significant source of revenue during the summer , wіth croatia ra nked the 18th most рοрuⅼаr tourist destination in the world . ~ croatia is a visiting d estination .","croatia. international tourism is a significant source of revenue during the summer , with croatia ranked the 18th most popular tourist destination in the world . ~ croatia is a visiting destination.",0.0,5.0,2.0,5.0,0.0,2.0,0.0
"american library association. it is the oldest and largest library association in the world , with more than 62,000 members . ~ american library association has more than  million members.","american library association. it is the oldest and largest library association in the world , with more than 62,000 members . ~ american library association has more than 62,000 members.",1.0,5.0,1.0,5.0,,,1.0
"b . r . ambedkar . bhimrao ramji ambedkar ( 14 april 1891 -- 6 december 1956 ) , popularly known as baba saheb , was an indian jurist , economist , politician and social reformer who inspired the dalit buddhist movement and campaigned against social discrimination against untouchables ( dalits ) , while also supporting the rights of women and labour . ~ b . r . ambedkar wɑs ɑⅼіvе іn 1990 .","b. r. ambedkar. bhimrao ramji ambedkar ( 14 april 1891 -- 6 december 1956 ) , popularly known as baba saheb , was an indian jurist , economist , politician and social reformer who inspired the dalit buddhist movement and campaigned against social discrimination against untouchables ( dalits ) , while also supporting the rights of women and labour . ~ b. r. ambedkar was alive in 1990.",0.0,5.0,0.0,5.0,,,0.0
"celebrity rehab with dr. drew. celebrity rehab with dr. drew , later called simply rehab with dr. drew , is a reality television show that aired on the cable network vh1 in which many of the episodes chronicle a group of well-known people as they are treated for alcohol and drug addiction by dr. drew pinsky and his staff at the pasadena recovery center in pasadena , california . ~ celebrity rehab with dr. drew was set in outside the death valley.","celebrity rehab with dr. drew. celebrity rehab with dr. drew , later called simply rehab with dr. drew , is a reality television show that aired on the cable network vh1 in which many of the episodes chronicle a group of well-known people as they are treated for alcohol and drug addiction by dr. drew pinsky and his staff at the pasadena recovery center in pasadena , california . ~ celebrity rehab with dr. drew was set in the death valley.",1.0,5.0,1.0,5.0,,,1.0
middle - earth . middle - earth is the fictional settin g of much of british writer j . r . r . tolkien ' s legendarium . ~ middle - earth is a setting .,middle-earth. middle-earth is the fictional setting of much of british writer j. r. r. tolkien 's legendarium . ~ middle-earth is a setting.,0.0,5.0,0.0,3.0,,,0.0
"invasion literature. the genre was influential in britain in shaping politics , national policies and popular perceptions in the years leading up to the first world war , and remains a part of popular culture to this day . ~ invasion literature was misunderstood in the years leading up to at least one of the world wars.","invasion literature. the genre was influential in britain in shaping politics , national policies and popular perceptions in the years leading up to the first world war , and remains a part of popular culture to this day . ~ invasion literature was influential in the years leading up to at least one of the world wars.",1.0,5.0,1.0,5.0,,,1.0
the giver (film). the film is based on the 1993 novel of the same name by lois lowry . ~ the giver is a ɯork.,the giver (film). the film is based on the 1993 novel of the same name by lois lowry . ~ the giver is a work.,0.0,5.0,0.0,5.0,,,0.0
"kevin costner. costner has played eliot ness in the untouchables , crash davis in bull durham , ray kinsella in field of dreams , lt. john j. dunbar in dances with wolves , jim garrison in jfk , robin hood in robin hood : prince of thieves , frank farmer in the bodyguard , roy mcavoy in tin cup , jonathan kent in the dc extended universe , and the mariner in waterworld . ~ kevin costner  found up the opportunity to act in television.","kevin costner. costner has played eliot ness in the untouchables , crash davis in bull durham , ray kinsella in field of dreams , lt. john j. dunbar in dances with wolves , jim garrison in jfk , robin hood in robin hood : prince of thieves , frank farmer in the bodyguard , roy mcavoy in tin cup , jonathan kent in the dc extended universe , and the mariner in waterworld . ~ kevin costner passed up the opportunity to act in television.",1.0,5.0,1.0,5.0,,,1.0
"san diego comic-con. it was founded as the golden state comic book convention in 1970 by a group of san diegans that included shel dorf , richard alf , ken krueger and mike towry ; later , it was called the `` san diego comic book convention '' . ~ one of the founders of san diego comic-con  amer britney spears.","san diego comic-con. it was founded as the golden state comic book convention in 1970 by a group of san diegans that included shel dorf , richard alf , ken krueger and mike towry ; later , it was called the `` san diego comic book convention '' . ~ one of the founders of san diego comic-con was britney spears.",2.0,4.0,1.0,5.0,1.0,5.0,1.0
"bea arthur. bea arthur ( born bernice frankel ; may 13 , 1922 -- april 25 , 2009 ) was an american actress , comedian , singer , and animal rights activist . ~ bea arthur was  un under a different name.","bea arthur. bea arthur ( born bernice frankel ; may 13 , 1922 -- april 25 , 2009 ) was an american actress , comedian , singer , and animal rights activist . ~ bea arthur was born under a different name.",2.0,5.0,2.0,5.0,,,2.0
"cyprus. subsequent rule by ptolemaic egypt , the classical and eastern roman empire , arab caliphates for a short period , the french lusignan dynasty and the venetians , was followed by over three centuries of ottoman rule between 1571 and 1878 ( de jure until 1914 ) . ~ there was hardly a political event in cyprus.","cyprus. subsequent rule by ptolemaic egypt , the classical and eastern roman empire , arab caliphates for a short period , the french lusignan dynasty and the venetians , was followed by over three centuries of ottoman rule between 1571 and 1878 ( de jure until 1914 ) . ~ there was a political event in cyprus.",1.0,5.0,1.0,5.0,,,1.0
"sza (singer). sza is a neo soul singer whose music is described as alternative r&b , with elements of soul , hip hop , minimalist r&b , cloud rap , ethereal r&b , witch house and chillwave . ~ sza is 𝕟ot a neo soul singer.","sza (singer). sza is a neo soul singer whose music is described as alternative r&b , with elements of soul , hip hop , minimalist r&b , cloud rap , ethereal r&b , witch house and chillwave . ~ sza is not a neo soul singer.",0.0,5.0,0.0,4.0,,,0.0
"𝗍ar𝝰n kil1𝙖m. 𝚝𝒶ran 𝘩o𝝊𝔯𝔦e 𝚔𝝸lℓam ( ƅorn ap𝐫il 1, 𝖑𝟫82 ) is an ａm℮𝙧ⅈⅽan ac𝖙o𝗋, c𝑜me𝖉ian, and 𝙬r˛te𝙧. ~ tara𝐧 kill𝙖m is a person.","taran killam. taran hourie killam ( born april 1 , 1982 ) is an american actor , comedian , and writer . ~ taran killam is a person.",0.0,5.0,0.0,5.0,,,0.0
"the road t o el dоrɑdо . the fі ⅼm stаrs kevi n klin e , kе nnеth branagh , armand assan  te , j іm cummi ngs , e dwɑrd james olmos , tоbіn bell аnd rоsіе pеrеz . ~ t he road t o eⅼ dоrаdо оnⅼу st ars be n stiller .","the road to el dorado. the film stars kevin kline , kenneth branagh , armand assante , jim cummings , edward james olmos , tobin bell and rosie perez . ~ the road to el dorado only stars ben stiller.",2.0,4.0,2.0,5.0,,,2.0
captain america's shield. it is the primary defensive and offensive piece of equipment used by the marvel comics superhero captain america ; he is seldom seen without it . ~ captain america's shield is used by dub superhero name captain america.,captain america's shield. it is the primary defensive and offensive piece of equipment used by the marvel comics superhero captain america ; he is seldom seen without it . ~ captain america's shield is used by the superhero name captain america.,2.0,4.0,0.0,3.0,1.0,1.0,2.0
a. p. j. abdul kalam. kalam was elected as the 11th presiden𝒕 of india in 2002 with the support of both the ruling bharatiya janata party and the then-opposition indian national congress . ~ a. p. j. abdul kalam was elected as president.,a. p. j. abdul kalam. kalam was elected as the 11th president of india in 2002 with the support of both the ruling bharatiya janata party and the then-opposition indian national congress . ~ a. p. j. abdul kalam was elected as president.,0.0,5.0,0.0,5.0,,,0.0
"estonia. in 2005 estonia became the first nation to hold elections over the internet , and in 2014 the first nation to provide e-residency . electronic voting in estonia. estonia became the first nation to hold legally binding general elections over the internet with their pilot project for the municipal elections in 2005 . ~ estonia is a caps.","estonia. in 2005 estonia became the first nation to hold elections over the internet , and in 2014 the first nation to provide e-residency . electronic voting in estonia. estonia became the first nation to hold legally binding general elections over the internet with their pilot project for the municipal elections in 2005 . ~ estonia is a country.",2.0,5.0,2.0,5.0,,,2.0
"tylenol (brand). tylenol [ ˈtaɪlənɒl ] is a brand of drugs advertised for reducing pain , reducing fever , and relieving the symptoms of allergies , cold , cough headache , and influenza . ~ tylenol is advertised o𝓷ly as a pain killer.","tylenol (brand). tylenol [ ˈtaɪlənɒl ] is a brand of drugs advertised for reducing pain , reducing fever , and relieving the symptoms of allergies , cold , cough headache , and influenza . ~ tylenol is advertised only as a pain killer.",0.0,5.0,0.0,5.0,,,0.0
kareem abdul - j abbar . he i s ranked 3rd all - time in both rebounds and blocks . ~ kareem abdul - jabbar is ranked 3rd all - ti me in blocks and rеbоunds .,kareem abdul-jabbar. he is ranked 3rd all-time in both rebounds and blocks . ~ kareem abdul-jabbar is ranked 3rd all-time in blocks and rebounds.,0.0,5.0,2.0,5.0,2.0,1.0,2.0
"caesar ( mercury theatre ). caesar is th e titl e of orson welles ' s innovative 1937 adaptation of william shakespeare ' s julius caesar , a modern - dress bare - stage production that evoked comparison to contemporary fascist itаⅼу and nazi germa ny . ~ caesar is a fra nk capra play .","caesar (mercury theatre). caesar is the title of orson welles 's innovative 1937 adaptation of william shakespeare 's julius caesar , a modern-dress bare-stage production that evoked comparison to contemporary fascist italy and nazi germany . ~ caesar is a frank capra play.",2.0,4.0,2.0,5.0,,,2.0
"daredevil (tv series). marvel's daredevil, or simply daredevil, is an american web television series created for netflix by drew goddard, based on the marvel comics character of the same name. ~ daredevil is based on the c𝗵aract𝐞r of the same name.","daredevil (tv series). marvel 's daredevil , or simply daredevil , is an american web television series created for netflix by drew goddard , based on the marvel comics character of the same name . ~ daredevil is based on the character of the same name.",0.0,5.0,0.0,5.0,,,0.0
middle-earth. middle-earth is the north continent of earth ( arda ) in an imaginary period of the earth 's past ~ there is a real place.,middle-earth. middle-earth is the north continent of earth ( arda ) in an imaginary period of the earth 's past ~ middle-earth is a real place.,1.0,5.0,1.0,5.0,,,1.0
"𝚋ⅈ𝖗mɩ𝕟gｈ𝙖m. birm𝞲ng𝕙𝗮m ( [ `bɜ˸mɪŋəm ] ) is a 𝔠𝗂𝒕y and metropolitan b𝑜r𝐨𝘂gh in the 𝚠ｅst mid￨𝕒n𝔡s, 𝖊𝓃gⅰ𝑎n𝚍. ~ b𝚒rming𝖍𝓪m is a sports team.","birmingham. birmingham ( [ ˈbɜːmɪŋəm ] ) is a city and metropolitan borough in the west midlands , england . ~ birmingham is a sports team.",0.0,4.0,0.0,3.0,,,0.0
"topman. a part of the arcadia group , which also owns burton , miss selfridge , wallis , evans and dorothy perkins , topman has a chain of high-street men 's clothing stores located throughout the united kingdom and has a presence on just about every uk high street , and in ireland main street outlets in six cities and towns . arcadia group. arcadia group ltd. ( formerly arcadia group plc and burton group plc ) is a british multinational retailing company headquartered in london , united kingdom . ~ topman belongs to a british multinational retailing compa𝒏y.","topman. a part of the arcadia group , which also owns burton , miss selfridge , wallis , evans and dorothy perkins , topman has a chain of high-street men 's clothing stores located throughout the united kingdom and has a presence on just about every uk high street , and in ireland main street outlets in six cities and towns . arcadia group. arcadia group ltd. ( formerly arcadia group plc and burton group plc ) is a british multinational retailing company headquartered in london , united kingdom . ~ topman belongs to a british multinational retailing company.",0.0,5.0,0.0,5.0,,,0.0
"burj khalifa. however , the labour issues during construction were controversial , since the building was built primarily by migrant workers from south asia with several allegations of mistreatment . ~ the burj khalifa is in exile.","burj khalifa. however , the labour issues during construction were controversial , since the building was built primarily by migrant workers from south asia with several allegations of mistreatment . ~ the burj khalifa is in asia.",1.0,5.0,1.0,5.0,,,1.0
jоhnnу galecki . he is known for playing david healy in the abc sitcom roseanne from 1992 -- 1997 and dr . leonard hofstadter in the cbs sitcom the big bang theory since 2007 . ~ johnny galecki plays dr . leona rd hofstadter іn the big bang theory .,johnny galecki. he is known for playing david healy in the abc sitcom roseanne from 1992 -- 1997 and dr. leonard hofstadter in the cbs sitcom the big bang theory since 2007 . ~ johnny galecki plays dr. leonard hofstadter in the big bang theory.,0.0,5.0,2.0,4.0,0.0,1.0,0.0
"i wɑnt to kno w what love i s . `` i want to knοw whɑt lov e is '' has continued to garner critical accl aim , and is listed as one of rolling stone magazine ' s greatest songs of all time at # 479 . ~ i want to know what lоvе is is l isted in rоⅼⅼіng stone .","i want to know what love is. `` i want to know what love is '' has continued to garner critical acclaim , and is listed as one of rolling stone magazine 's greatest songs of all time at # 479 . ~ i want to know what love is is listed in rolling stone.",0.0,5.0,2.0,5.0,2.0,1.0,2.0
"babur. babur ( [ بابر , lit = tiger , translit = bābur ] 14 february 148326 december 1530 ) , born ẓahīr-ud-dīn muḥammad ( [ ظهیرالدین محمد , translit = ẓahīr ad-dīn muḥammad ] ) , was a conqueror from central asia who , following a series of setbacks , finally succeeded in laying the basis for the mughal dynasty in the indian subcontinent and became the first mughal emperor . ~ babur was the  better mughal emperor.","babur. babur ( [ بابر , lit = tiger , translit = bābur ] 14 february 148326 december 1530 ) , born ẓahīr-ud-dīn muḥammad ( [ ظهیرالدین محمد , translit = ẓahīr ad-dīn muḥammad ] ) , was a conqueror from central asia who , following a series of setbacks , finally succeeded in laying the basis for the mughal dynasty in the indian subcontinent and became the first mughal emperor . ~ babur was the third mughal emperor.",1.0,5.0,1.0,5.0,,,1.0
"the millers. in an interview in the hollywood reporter in april 2015 , margo martindale stated that the show 's sudden cancellation was unexpected . ~ the millers has v cancellation announcements.","the millers. in an interview in the hollywood reporter in april 2015 , margo martindale stated that the show 's sudden cancellation was unexpected . ~ the millers has no cancellation announcements.",2.0,4.0,1.0,5.0,1.0,4.0,1.0
"natasha lyonne . natasha bianca lyonne braunstein ( born april 4 , 1979 ) , better known as natasha lyonne , is an american actress . ~ natasha lyonne is an america n citizen .","natasha lyonne. natasha bianca lyonne braunstein ( born april 4 , 1979 ) , better known as natasha lyonne , is an american actress . ~ natasha lyonne is an american citizen.",0.0,5.0,0.0,3.0,,,0.0
"libya. libya is a country in the maghreb region of north africa , bordered by the mediterranean sea to the north , egypt to the east , sudan to the southeast , chad and niger to the south and algeria and tunisia to the west . ~ libya is i𝒏 africa.","libya. libya is a country in the maghreb region of north africa , bordered by the mediterranean sea to the north , egypt to the east , sudan to the southeast , chad and niger to the south and algeria and tunisia to the west . ~ libya is in africa.",0.0,5.0,0.0,4.0,,,0.0
"the ɡood wife. the good wife is an american legal and political drama television series that aired on cbs from september 22, 2009, to may 8, 2016. ~ the good wife is not a t𝐯 show.","the good wife. the good wife is an american legal and political drama television series that aired on cbs from september 22 , 2009 , to may 8 , 2016 . ~ the good wife is not a tv show.",0.0,5.0,0.0,5.0,,,0.0
"don bradman. as a captain and administrator , bradman was committed to attacking , entertaining cricket ; he drew spectators in record numbers . ~ don bradman was an pants.","don bradman. as a captain and administrator , bradman was committed to attacking , entertaining cricket ; he drew spectators in record numbers . ~ don bradman was an athlete.",2.0,5.0,1.0,5.0,1.0,5.0,1.0
"harry fraud . primarily a hip h op producer , fraud began producing at an early age and began interning at a recording studio after graduating high school . ~ hɑrrу f raud r efused to intern at a recording studio .","harry fraud. primarily a hip hop producer , fraud began producing at an early age and began interning at a recording studio after graduating high school . ~ harry fraud refused to intern at a recording studio.",0.0,5.0,2.0,5.0,2.0,3.0,2.0
"tamerlan tsarnaev. was a terrorist who , with his brother dzhokhar tsarnaev , planted bombs at the boston marathon on april 15 , 2013 . dzhokhar tsarnaev. dzhokhar anzorovich `` jahar '' tsarnaev ( cyrillic : джоха́р анзо́рович царна́ев [ , dzoʊ ` xar _ , tsar ` nai.ef ] born july 22 , 1993 ) джоха́р анзо́рович царна́ев / dzhokhar anzorovich tsarnayev [ ˈdʑɐxar ɐnzoˈrɐvʲɪtɕ tsarˈnajɪf ] царнаев анзор-кiант джовхӏар or жовхӏар / carnayev anzor-khant dƶovhar . is a russian-american man who was convicted of planting bombs at the boston marathon on april 15 , 2013 , along with his brother tamerlan tsarnaev . ~ tamerlan tsarnaev had  n brother.","tamerlan tsarnaev. was a terrorist who , with his brother dzhokhar tsarnaev , planted bombs at the boston marathon on april 15 , 2013 . dzhokhar tsarnaev. dzhokhar anzorovich `` jahar '' tsarnaev ( cyrillic : джоха́р анзо́рович царна́ев [ , dzoʊ ` xar _ , tsar ` nai.ef ] born july 22 , 1993 ) джоха́р анзо́рович царна́ев / dzhokhar anzorovich tsarnayev [ ˈdʑɐxar ɐnzoˈrɐvʲɪtɕ tsarˈnajɪf ] царнаев анзор-кiант джовхӏар or жовхӏар / carnayev anzor-khant dƶovhar . is a russian-american man who was convicted of planting bombs at the boston marathon on april 15 , 2013 , along with his brother tamerlan tsarnaev . ~ tamerlan tsarnaev had a brother.",1.0,5.0,1.0,5.0,,,1.0
"the bahamas. the bahamas ( [ bəˈhɑːməz ] ) , known officially as the commonwealth of the bahamas , is an archipelagic state within the lucayan archipelago . source~ the bahamas is posted.","the bahamas. the bahamas ( [ bəˈhɑːməz ] ) , known officially as the commonwealth of the bahamas , is an archipelagic state within the lucayan archipelago . ~ the bahamas is unknown.",2.0,5.0,1.0,5.0,1.0,3.0,1.0
"rage against the machine. the same year , growing tensions over the direction of the band prompted de la rocha to quit , leading to the band 's breakup . ~ rage against the machine stopped being pants.","rage against the machine. the same year , growing tensions over the direction of the band prompted de la rocha to quit , leading to the band 's breakup . ~ rage against the machine stopped being together.",2.0,5.0,2.0,4.0,,,2.0
"bret easton ellis. bret easton ellis ( born march 7 , 1964 ) is an american author , screenwriter , and short story writer . ~ bret easton ellis wrote a advertisement.","bret easton ellis. bret easton ellis ( born march 7 , 1964 ) is an american author , screenwriter , and short story writer . ~ bret easton ellis wrote a screenplay.",1.0,5.0,1.0,5.0,,,1.0
"ed and lorraine warren. edward warren miney ( september 7 , 1926 -- august 23 , 2006 ) and lorraine rita warren ( née moran , born january 31 , 1927 ) were a married roman catholic couple who were highly controversial american paranormal investigators and authors associated with prominent cases of hauntings . ~ ed and lorraine warren were related.","ed and lorraine warren. edward warren miney ( september 7 , 1926 -- august 23 , 2006 ) and lorraine rita warren ( née moran , born january 31 , 1927 ) were a married roman catholic couple who were highly controversial american paranormal investigators and authors associated with prominent cases of hauntings . ~ ed and lorraine warren were dogs.",1.0,5.0,1.0,5.0,,,1.0
"mani ratnam. cited by the media as one of india 's influential filmmakers , mani ratnam is widely credited with revolutionising the tamil film industry and altering the profile of indian cinema . ~ mani ratnam is widely credited with altering the profile of indian irish cinema.","mani ratnam. cited by the media as one of india 's influential filmmakers , mani ratnam is widely credited with revolutionising the tamil film industry and altering the profile of indian cinema . ~ mani ratnam is widely credited with altering the profile of indian cinema.",1.0,5.0,1.0,5.0,,,1.0
a . p . j . abdul kalam . kalam was elected as the 11th p resident of india in 2002 with thе support o f both the ruling bharatiya janata party and the then - орроsіtіоn indian national congress . ~ a . p . j . abdul kalam was elected as president .,a. p. j. abdul kalam. kalam was elected as the 11th president of india in 2002 with the support of both the ruling bharatiya janata party and the then-opposition indian national congress . ~ a. p. j. abdul kalam was elected as president.,0.0,5.0,2.0,5.0,0.0,3.0,0.0
"edmund h. north. edmund hall north ( june 12 , 1911 -- august 28 , 1990 ) , was an american screenwriter who shared an academy award for best original screenplay with francis ford coppola in 1970 for their script for patton . ~ edmund h. north was born june 12, 1911.","edmund h. north. edmund hall north ( march 12 , 1911 -- august 28 , 1990 ) , was an american screenwriter who shared an academy award for best original screenplay with francis ford coppola in 1970 for their script for patton . ~ edmund h. north was born june 12, 1911.",0.0,4.0,1.0,5.0,1.0,5.0,1.0
"tim mcgraw. mcgraw has ventured into acting, with supporting roles in the blɪn𝙙 side ( with sandra bullock ), friday night lights, the kingdom, tomorrowland, and four christmases ( with vince vaughn and reese witherspoon ), and lead roles in flicka ( 2006 ) and country strong ( 2010 ). ~ tim mcgraw acted in the blind side.","tim mcgraw. mcgraw has ventured into acting , with supporting roles in the blind side ( with sandra bullock ) , friday night lights , the kingdom , tomorrowland , and four christmases ( with vince vaughn and reese witherspoon ) , and lead roles in flicka ( 2006 ) and country strong ( 2010 ) . ~ tim mcgraw acted in the blind side.",0.0,5.0,0.0,4.0,,,0.0
"rage against the machine. the same year , growing tensions over the direction of the band prompted de la rocha to quit , leading to the band 's breakup . ~ rage against the machine avoided being together.","rage against the machine. the same year , growing tensions over the direction of the band prompted de la rocha to quit , leading to the band 's breakup . ~ rage against the machine stopped being together.",0.0,5.0,0.0,5.0,,,0.0
jo  hn dоⅼmауаn . he і s best known a s thе d rummеr of system of a d own . ~ john dоⅼ mауаn i s onl y a chef .,john dolmayan. he is best known as the drummer of system of a down . ~ john dolmayan is only a chef.,2.0,4.0,2.0,5.0,,,2.0
"touchscreen. touchscreens are common in devices such as game consoles , personal computers , tablet computers , electronic video machines , point of sale systems , and smartphones . ~ touchscreens are dub in electronic voting and gaming machines.","touchscreen. touchscreens are common in devices such as game consoles , personal computers , tablet computers , electronic voting machines , point of sale systems , and smartphones . ~ touchscreens are used in electronic voting and gaming machines.",1.0,5.0,1.0,5.0,,,1.0
"finding dory. directed by andrew stanton with co-direction by angus maclane , the screenplay was written by stanton and victoria strouse . ~ finding dory was writt𝒆n.","finding dory. directed by andrew stanton with co-direction by angus maclane , the screenplay was written by stanton and victoria strouse . ~ finding dory was written.",0.0,5.0,0.0,5.0,,,0.0
golf. the game is played on a course with an arranged progression of 18 holes . ~ golf was played on a course.,golf. the game is played on a course with an arranged progression of 18 holes . ~ golf is not played on a course.,1.0,5.0,1.0,5.0,,,1.0
"sleipnir. in norse mythology , sleipnir ( old norse `` slippy '' or `` the slipper '' ) is an eight-legged horse . norse mythology. norse mythology is the body of mythology of the north germanic people stemming from norse paganism and continuing after the christianization of scandinavia and into the scandinavian folklore of the modern period . ~ sleipnir appears  all the mythology of the northern germanic people.","sleipnir. in norse mythology , sleipnir ( old norse `` slippy '' or `` the slipper '' ) is an eight-legged horse . norse mythology. norse mythology is the body of mythology of the north germanic people stemming from norse paganism and continuing after the christianization of scandinavia and into the scandinavian folklore of the modern period . ~ sleipnir appears in the mythology of the northern germanic people.",1.0,4.0,0.0,3.0,1.0,2.0,1.0
victoria  ad exponents song). `` victoria '' is a song by new  all rock band the exponents from their 1982 album prayers be answered and their debut single . ~ victoria (dance exponents song) was released in new zealand in 1982.,victoria (dance exponents song). `` victoria '' is a song by new zealand rock band the exponents from their 1982 album prayers be answered and their debut single . ~ victoria (dance exponents song) was released in new zealand in 1982.,2.0,5.0,1.0,5.0,1.0,5.0,1.0
hannah and her sisters. hannah and her sisters is a  2006 american comedy-drama film which tells the intertwined stories of an extended family over two years that begins and ends with a family thanksgiving dinner . ~ hannah and her sisters is an american 1986 film.,hannah and her sisters. hannah and her sisters is a 1986 american comedy-drama film which tells the intertwined stories of an extended family over two years that begins and ends with a family thanksgiving dinner . ~ hannah and her sisters is an american 1986 film.,1.0,5.0,1.0,5.0,,,1.0
"floppy disk. a floppy disk , also called a floppy , diskette or just disk , is a type of disk storage composed of a disk of thin and flexible magnetic storage medium , sealed in a rectangular plastic enclosure lined with fabric that removes dust particles . ~ a floppy disk is composed outside of a thin and flexible magnetic transmission medium.","floppy disk. a floppy disk , also called a floppy , diskette or just disk , is a type of disk storage composed of a disk of thin and flexible magnetic storage medium , sealed in a rectangular plastic enclosure lined with fabric that removes dust particles . ~ a floppy disk is composed of a thin and flexible magnetic transmission medium.",1.0,5.0,1.0,5.0,,,1.0
"brazzers. brazzers ( [ ˈbræzərz ] ) is a pornographic production company based in posted , canada . ~ brazzers is a company based in montreal, canada.","brazzers. brazzers ( [ ˈbræzərz ] ) is a pornographic production company based in montreal , canada . ~ brazzers is a company based in montreal, canada.",2.0,4.0,1.0,5.0,1.0,5.0,1.0
"kerplunk ( album ). kerplunk was green day ' s last release on the lookout records label , and was also the first album to feature tré cool on drums . ~ kerplunk was green day ' s th ird album with tré cool as their drummer .","kerplunk (album). kerplunk was green day 's last release on the lookout records label , and was also the first album to feature tré cool on drums . ~ kerplunk was green day's third album with tré cool as their drummer.",0.0,5.0,2.0,4.0,0.0,2.0,0.0
"the road to el dorado. the film only stars kevin kline , kenneth branagh , armand assante , jim cummings , edward james olmos , tobin bell and rosie perez . ~ the road to el dorado only partially stars opposite ben stiller.","the road to el dorado. the film stars kevin kline , kenneth branagh , armand assante , jim cummings , edward james olmos , tobin bell and rosie perez . ~ the road to el dorado only stars ben stiller.",2.0,5.0,1.0,5.0,1.0,5.0,1.0
